#Mode,Cons,transition via,allowed,not allowed
VIRTIS_Illum_False,0,EVTM_VRIE,VIRTIS_Illum_True,null
VIRTIS_Illum_True,0,EVTM_VRIS,VIRTIS_Illum_False,null
LANDER_Illum_False,0,EVTM_LDIE,LANDER_Illum_True,null
LANDER_Illum_True,0,EVTM_LDIS,LANDER_Illum_False,null
ZPos20_Illum_False,0,EVTM_Z02E,ZPos20_Illum_True,null
ZPos20_Illum_True,0,EVTM_Z02S,ZPos20_Illum_False,null
ZNeg180_Illum_False,0,EVTM_Z18E,ZNeg180_Illum_True,null
ZNeg180_Illum_True,0,EVTM_Z18S,ZNeg180_Illum_False,null
ZNeg140_Illum_False,0,EVTM_Z14E,ZNeg140_Illum_True,null
ZNeg140_Illum_True,0,EVTM_Z14S,ZNeg140_Illum_False,null
ZNeg175_Illum_False,0,EVTM_Z17E,ZNeg175_Illum_True,null
ZNeg175_Illum_True,0,EVTM_Z17S,ZNeg175_Illum_False,null
ZNeg192_Illum_False,0,EVTM_Z19E,ZNeg192_Illum_True,null
ZNeg192_Illum_True,0,EVTM_Z19S,ZNeg192_Illum_False,null
YPos5_Illum_False,0,EVTM_YPIE,YPos5_Illum_True,null
YPos5_Illum_True,0,EVTM_YPIS,YPos5_Illum_False,null
YNeg5_Illum_False,0,EVTM_YMIE,YNeg5_Illum_True,null
YNeg5_Illum_True,0,EVTM_YMIS,YNeg5_Illum_False,null
YPos30_Illum_False,0,EVTM_YP3E,YPos30_Illum_True,null
YPos30_Illum_True,0,EVTM_YP3S,YPos30_Illum_False,null
YNeg30_Illum_False,0,EVTM_YM3E,YNeg30_Illum_True,null
YNeg30_Illum_True,0,EVTM_YM3S,YNeg30_Illum_False,null
YNeg40_Illum_False,0,EVTM_YM4E,YNeg40_Illum_True,null
YNeg40_Illum_True,0,EVTM_YM4S,YNeg40_Illum_False,null
YPos40_Illum_False,0,EVTM_YP4E,YPos40_Illum_True,null
YPos40_Illum_True,0,EVTM_YP4S,YPos40_Illum_False,null
